(-1.10, 1.21)
(-1.10, 1.20)
(-1.09, 1.19)
(-1.09, 1.18)
(-1.08, 1.17)
(-1.08, 1.16)
(-1.08, 1.16)
(-1.07, 1.15)
(-1.07, 1.14)
(-1.06, 1.13)
(-1.06, 1.12)
(-1.06, 1.11)
(-1.05, 1.10)
(-1.05, 1.10)
(-1.04, 1.09)
(-1.04, 1.08)
(-1.04, 1.07)
(-1.03, 1.06)
(-1.03, 1.05)
(-1.02, 1.05)
(-1.02, 1.04)
(-1.02, 1.03)
(-1.01, 1.02)
(-1.01, 1.01)
(-1.00, 1.01)
(-1.00, 1.00)
(-0.99, 0.99)
(-0.99, 0.98)
(-0.99, 0.97)
(-0.98, 0.97)
(-0.98, 0.96)
(-0.97, 0.95)
(-0.97, 0.94)
(-0.97, 0.94)
(-0.96, 0.93)
(-0.96, 0.92)
(-0.95, 0.91)
(-0.95, 0.90)
(-0.95, 0.90)
(-0.94, 0.89)
(-0.94, 0.88)
(-0.93, 0.87)
(-0.93, 0.87)
(-0.93, 0.86)
(-0.92, 0.85)
(-0.92, 0.84)
(-0.91, 0.84)
(-0.91, 0.83)
(-0.91, 0.82)
(-0.90, 0.82)
(-0.90, 0.81)
(-0.89, 0.80)
(-0.89, 0.79)
(-0.89, 0.79)
(-0.88, 0.78)
(-0.88, 0.77)
(-0.87, 0.77)
(-0.87, 0.76)
(-0.87, 0.75)
(-0.86, 0.74)
(-0.86, 0.74)
(-0.85, 0.73)
(-0.85, 0.72)
(-0.85, 0.72)
(-0.84, 0.71)
(-0.84, 0.70)
(-0.83, 0.70)
(-0.83, 0.69)
(-0.83, 0.68)
(-0.82, 0.68)
(-0.82, 0.67)
(-0.81, 0.66)
(-0.81, 0.66)
(-0.81, 0.65)
(-0.80, 0.64)
(-0.80, 0.64)
(-0.79, 0.63)
(-0.79, 0.63)
(-0.79, 0.62)
(-0.78, 0.61)
(-0.78, 0.61)
(-0.77, 0.60)
(-0.77, 0.59)
(-0.77, 0.59)
(-0.76, 0.58)
(-0.76, 0.58)
(-0.75, 0.57)
(-0.75, 0.56)
(-0.75, 0.56)
(-0.74, 0.55)
(-0.74, 0.55)
(-0.73, 0.54)
(-0.73, 0.53)
(-0.73, 0.53)
(-0.72, 0.52)
(-0.72, 0.52)
(-0.71, 0.51)
(-0.71, 0.51)
(-0.71, 0.50)
(-0.70, 0.49)
(-0.70, 0.49)
(-0.69, 0.48)
(-0.69, 0.48)
(-0.69, 0.47)
(-0.68, 0.47)
